datetime,time (s),sigma_w (S/m)
2024-10-10 17:39:00,-600660.0,
2024-10-10 17:40:00,-600600.0,
2024-10-10 17:41:00,-600540.0,
2024-10-10 17:42:00,-600480.0,
2024-10-10 17:43:00,-600420.0,
2024-10-10 17:44:00,-600360.0,
2024-10-10 17:45:00,-600300.0,
2024-10-10 17:46:00,-600240.0,
2024-10-10 17:47:00,-600180.0,
2024-10-10 17:48:00,-600120.0,
2024-10-10 17:49:00,-600060.0,
2024-10-10 17:50:00,-600000.0,
2024-10-10 17:51:00,-599940.0,
2024-10-10 17:52:00,-599880.0,
2024-10-10 17:53:00,-599820.0,
2024-10-10 17:54:00,-599760.0,
2024-10-10 17:55:00,-599700.0,
2024-10-10 17:56:00,-599640.0,
2024-10-10 17:57:00,-599580.0,
2024-10-10 17:58:00,-599520.0,
2024-10-10 17:59:00,-599460.0,
2024-10-10 18:00:00,-599400.0,
2024-10-10 18:01:00,-599340.0,
2024-10-10 18:02:00,-599280.0,
2024-10-10 18:03:00,-599220.0,
2024-10-10 18:04:00,-599160.0,
2024-10-10 18:05:00,-599100.0,
2024-10-10 18:06:00,-599040.0,
2024-10-10 18:07:00,-598980.0,
2024-10-10 18:08:00,-598920.0,
2024-10-10 18:09:00,-598860.0,
2024-10-10 18:10:00,-598800.0,
2024-10-10 18:11:00,-598740.0,
2024-10-10 18:12:00,-598680.0,
2024-10-10 18:13:00,-598620.0,
2024-10-10 18:14:00,-598560.0,
2024-10-10 18:15:00,-598500.0,
2024-10-10 18:16:00,-598440.0,
2024-10-10 18:17:00,-598380.0,
2024-10-10 18:18:00,-598320.0,
2024-10-10 18:19:00,-598260.0,
2024-10-10 18:20:00,-598200.0,
2024-10-10 18:21:00,-598140.0,
2024-10-10 18:22:00,-598080.0,
2024-10-10 18:23:00,-598020.0,
2024-10-10 18:24:00,-597960.0,
2024-10-10 18:25:00,-597900.0,
2024-10-10 18:26:00,-597840.0,
2024-10-10 18:27:00,-597780.0,
2024-10-10 18:28:00,-597720.0,
2024-10-10 18:29:00,-597660.0,
2024-10-10 18:30:00,-597600.0,
2024-10-10 18:31:00,-597540.0,
2024-10-10 18:32:00,-597480.0,
2024-10-10 18:33:00,-597420.0,
2024-10-10 18:34:00,-597360.0,
2024-10-10 18:35:00,-597300.0,
2024-10-10 18:36:00,-597240.0,
2024-10-10 18:37:00,-597180.0,
2024-10-10 18:38:00,-597120.0,
2024-10-10 18:39:00,-597060.0,
2024-10-10 18:40:00,-597000.0,
2024-10-10 18:41:00,-596940.0,
2024-10-10 18:42:00,-596880.0,
2024-10-10 18:43:00,-596820.0,
2024-10-10 18:44:00,-596760.0,
2024-10-10 18:45:00,-596700.0,
2024-10-10 18:46:00,-596640.0,
2024-10-10 18:47:00,-596580.0,
2024-10-10 18:48:00,-596520.0,
