time (s),datetime,spacing (m),avg Rho-a (Ohm-m),std Rho-a (Ohm-m),avg dRho-a (Ohm-m),std dRho-a (Ohm-m),rel avg (%),rel std (%),residual,rel residual (%)
0,2024-10-17 16:30:00,0.25,15.471400000000001,0.733358945971455,0.0,0.0,0.0,0.0,0.6564000000000001,0.0
0,2024-10-17 16:30:00,0.5,17.54479,0.8551389681800269,0.0,0.0,0.0,0.0,0.7339660000000002,0.0
0,2024-10-17 16:30:00,0.75,17.11521,0.6236705082814159,0.0,0.0,0.0,0.0,0.5013679999999996,0.0
0,2024-10-17 16:30:00,1.0,15.991590000000002,0.7046301532719137,0.0,0.0,0.0,0.0,0.6103680000000008,0.0
0,2024-10-17 16:30:00,1.25,15.259788888888888,0.7168245786405556,0.0,0.0,0.0,0.0,0.6400765432098764,0.0
0,2024-10-17 16:30:00,1.5,14.625466666666666,0.551780181674631,0.0,0.0,0.0,0.0,0.42779999999999974,0.0
0,2024-10-17 16:30:00,1.75,14.361233333333335,0.5475070268448109,0.0,0.0,0.0,0.0,0.4732814814814817,0.0
0,2024-10-17 16:30:00,2.0,14.0851125,0.30727381696745626,0.0,0.0,0.0,0.0,0.25468749999999973,0.0
960,2024-10-17 16:46:00,0.25,15.064572727272726,0.6778923152495391,-0.4068272727272728,0.07100027004953859,-2.6184412594153663,0.36379102410063563,0.60598347107438,0.2931415238029808
960,2024-10-17 16:46:00,0.5,17.19934,0.8361746638113362,-0.34544999999999926,0.055521477826152923,-1.9678982227012916,0.3012822957287435,0.7138760000000002,0.25351745849575585
960,2024-10-17 16:46:00,0.75,16.85567,0.6170187339943582,-0.25953999999999927,0.10665908493888317,-1.5148233919488978,0.6107971936796865,0.47626400000000013,0.44052880664790073
960,2024-10-17 16:46:00,1.0,15.800850000000002,0.7010336914157547,-0.1907400000000008,0.05825229952542638,-1.1932595132709987,0.3674334197465614,0.6138299999999999,0.30523992002609707
960,2024-10-17 16:46:00,1.25,15.13567777777778,0.7330315739414379,-0.12411111111111141,0.04166622518284615,-0.8195004361073828,0.2780382835332928,0.6530864197530867,0.23317518596623377
960,2024-10-17 16:46:00,1.5,14.527455555555555,0.5906832505405379,-0.09801111111111105,0.06483362372590369,-0.6802393461457291,0.4495588568382316,0.4616864197530863,0.3576836595244712
960,2024-10-17 16:46:00,1.75,14.276955555555556,0.5781180773492768,-0.08427777777777755,0.09065095179714525,-0.5939434893091257,0.6189543644868712,0.48559506172839484,0.4091242057589018
960,2024-10-17 16:46:00,2.0,14.0009625,0.33420631703148573,-0.08414999999999973,0.054602037507771144,-0.6012755173062023,0.3927965593946565,0.2620874999999998,0.32531949816011935
8160,2024-10-17 18:46:00,0.25,14.456427272727273,0.6550836311507507,-1.0149727272727274,0.12181153916760169,-6.54961831539395,0.6238223526653639,0.5961619834710746,0.4602419282720046
8160,2024-10-17 18:46:00,0.5,16.7092,0.7965256078745988,-0.8355899999999995,0.10314756856077723,-4.756758701416039,0.4911708899720131,0.6777599999999989,0.36985457143134404
8160,2024-10-17 18:46:00,0.75,16.52639,0.5722870930747957,-0.5888199999999995,0.14632234142467712,-3.4302872894412277,0.8038296659889594,0.4596099999999998,0.5497335671290929
8160,2024-10-17 18:46:00,1.0,15.608319999999997,0.6724351683247979,-0.3832700000000006,0.08689452284235193,-2.3910818922384456,0.5127815723717819,0.5889999999999997,0.45718369320369945
8160,2024-10-17 18:46:00,1.25,14.998511111111112,0.6948711510368019,-0.26127777777777816,0.040364279526933215,-1.7088984445068376,0.24017534067793112,0.6246345679012347,0.18703113815737507
8160,2024-10-17 18:46:00,1.5,14.385066666666667,0.5890141141489452,-0.24040000000000006,0.08581085142464337,-1.654231401873855,0.6211449555854935,0.46015555555555565,0.5429912804299735
8160,2024-10-17 18:46:00,1.75,14.1571,0.5471884603234165,-0.20413333333333344,0.08889506922958837,-1.421846288199822,0.6148875530273755,0.47691111111111123,0.4843564501695499
8160,2024-10-17 18:46:00,2.0,13.9307375,0.32679893259273385,-0.1543749999999997,0.043502464010674334,-1.0991024207160254,0.3168486228547519,0.27094687500000014,0.2757416344873421
15360,2024-10-17 20:46:00,0.25,14.139418181818185,0.6169953363875345,-1.331981818181818,0.16788954603971473,-8.59047090998615,0.838141257499815,0.5592595041322319,0.5984161464983941
15360,2024-10-17 20:46:00,0.5,16.40703,0.7643805479602424,-1.1377599999999994,0.12671797189033673,-6.474276786448893,0.5352724931301351,0.6498219999999997,0.4235687952807455
15360,2024-10-17 20:46:00,0.75,16.30448,0.5409434643287598,-0.8107299999999997,0.18159497817946352,-4.720411575656171,0.9764903568910845,0.43964000000000036,0.6334832366428028
15360,2024-10-17 20:46:00,1.0,15.44477,0.6332089087339189,-0.5468200000000001,0.11417693112008215,-3.4043189979918598,0.6383287123463072,0.5686640000000003,0.5782030746028262
15360,2024-10-17 20:46:00,1.25,14.848644444444444,0.6686386287094616,-0.4111444444444445,0.08695790950046675,-2.6839783102939268,0.5193549796469915,0.6137604938271605,0.43036251202632647
15360,2024-10-17 20:46:00,1.5,14.307200000000002,0.5616620533935173,-0.31826666666666664,0.08591782896077685,-2.180401980198025,0.6123600686130284,0.43673333333333414,0.5064508971931977
15360,2024-10-17 20:46:00,1.75,14.104822222222221,0.5391065690932604,-0.25641111111111115,0.08972911635019931,-1.7841917334619612,0.5971511021156726,0.46435308641975326,0.511246477365459
15360,2024-10-17 20:46:00,2.0,13.8863375,0.33036682618530294,-0.19877499999999992,0.06468270151284687,-1.414511002077725,0.46422900072057727,0.2732968750000002,0.36708941855480864
22560,2024-10-17 22:46:00,0.25,13.9623,0.6174044099733542,-1.5090999999999999,0.1766604292781131,-9.737294365734188,0.8873165898104304,0.5556909090909095,0.6746903281731298
22560,2024-10-17 22:46:00,0.5,16.21395,0.7566750587273244,-1.33084,0.15390391288073313,-7.574278254800956,0.6845612592614916,0.6545800000000002,0.6003832849647702
22560,2024-10-17 22:46:00,0.75,16.113239999999998,0.5397828307754888,-1.0019699999999996,0.19674412341922662,-5.8380073253664015,1.0488607764735238,0.4418800000000001,0.6522283068667267
22560,2024-10-17 22:46:00,1.0,15.28688,0.6402255396342756,-0.7047100000000007,0.11225495490177745,-4.395566083704516,0.6127748970012571,0.5678559999999997,0.5139450742705102
22560,2024-10-17 22:46:00,1.25,14.71471111111111,0.6617757952735027,-0.5450777777777779,0.08821438252320649,-3.56210860569606,0.4961713070810372,0.5945901234567903,0.41157301734731194
22560,2024-10-17 22:46:00,1.5,14.221022222222222,0.5412016522471655,-0.4044444444444445,0.05931827732403652,-2.766053022995029,0.3910926759133486,0.4217851851851854,0.3445125677916649
22560,2024-10-17 22:46:00,1.75,14.017744444444444,0.5306479647272154,-0.3434888888888889,0.09980772008043433,-2.3887178302727636,0.6570367240102144,0.4527950617283953,0.5654283565527017
22560,2024-10-17 22:46:00,2.0,13.8002375,0.32568664747537646,-0.28487499999999955,0.06601046791986843,-2.025248072867113,0.47465057924060755,0.270146875,0.3549630672986884
29760,2024-10-18 00:46:00,0.25,13.799399999999999,0.6040431140542569,-1.6719999999999997,0.1779676988056589,-10.78911324289646,0.8299457253025366,0.5432181818181817,0.5587388906563115
29760,2024-10-18 00:46:00,0.5,16.06198,0.7776569485319349,-1.48281,0.16427956933228288,-8.447341028988667,0.810029539623482,0.6597160000000002,0.6019380927602411
29760,2024-10-18 00:46:00,0.75,16.00483,0.5487466902861464,-1.1103799999999995,0.2316986525640574,-6.471331745803745,1.2542968930534126,0.4660700000000002,0.8528022963899635
29760,2024-10-18 00:46:00,1.0,15.23006,0.6357723432172872,-0.7615300000000005,0.12516760803019306,-4.749792797510102,0.6881460841751613,0.565692,0.6095148805669737
29760,2024-10-18 00:46:00,1.25,14.678755555555556,0.6528561405446941,-0.5810333333333334,0.09482632077177275,-3.795262134015727,0.5153846217881691,0.5956395061728395,0.4395305219868559
29760,2024-10-18 00:46:00,1.5,14.188088888888888,0.5337648804991959,-0.4373777777777775,0.06867231008812398,-2.989443540393659,0.4442802073125757,0.4111407407407405,0.37892599823637413
29760,2024-10-18 00:46:00,1.75,13.972233333333334,0.4974278082741702,-0.38900000000000035,0.0972482390586068,-2.6981458783369554,0.6009983546306905,0.4281629629629631,0.4950762032083164
29760,2024-10-18 00:46:00,2.0,13.7835,0.31894278091845885,-0.3016124999999996,0.03776140349285242,-2.1438012658246643,0.2828984826420141,0.2547250000000001,0.24739807761348429
36960,2024-10-18 02:46:00,0.25,13.655699999999998,0.6133126223446513,-1.8156999999999996,0.18112137065816064,-11.7219272221319,0.8729057919219635,0.5590545454545449,0.6751508533046241
36960,2024-10-18 02:46:00,0.5,15.949700000000002,0.7682123938078586,-1.59509,0.13748036550722512,-9.087624388052085,0.593812090614478,0.6520000000000005,0.45218193830108955
36960,2024-10-18 02:46:00,0.75,15.889840000000001,0.5498711780044488,-1.2253699999999996,0.2386548974984586,-7.143678133645956,1.2856487602630466,0.46582000000000046,0.8512490066081257
36960,2024-10-18 02:46:00,1.0,15.05998,0.6665130843426857,-0.9316100000000006,0.15688986232386073,-5.8221998666169705,0.9266181541389615,0.56354,0.8665982971038646
36960,2024-10-18 02:46:00,1.25,14.614200000000002,0.63605487534052,-0.6455888888888892,0.10925547476182672,-4.2139528242569195,0.5753085809976283,0.5635333333333334,0.5223501065246553
36960,2024-10-18 02:46:00,1.5,14.14398888888889,0.5529956026436467,-0.4814777777777779,0.07899283761874672,-3.2957432540883707,0.5465449581670732,0.42620493827160566,0.44275176264365906
36960,2024-10-18 02:46:00,1.75,13.941233333333335,0.501928753244256,-0.4199999999999997,0.17743703734627156,-2.91039539984106,1.1401473477428348,0.4300518518518517,0.9143116132561444
36960,2024-10-18 02:46:00,2.0,13.759062499999999,0.34829200011448747,-0.32604999999999973,0.07741513094996383,-2.3211356751828527,0.5673764282446606,0.2822031249999999,0.44205493818936914
44160,2024-10-18 04:46:00,0.25,13.576154545454544,0.6167346038372161,-1.8952454545454542,0.17291459985488541,-12.238746811808653,0.8154684644271317,0.548778512396694,0.6473735676465442
44160,2024-10-18 04:46:00,0.5,15.86112,0.7936253521656176,-1.6836699999999998,0.13345136979439448,-9.600059768710585,0.6714866409708332,0.6756440000000001,0.4909582266231671
44160,2024-10-18 04:46:00,0.75,15.81601,0.5766255066332048,-1.2991999999999995,0.2499384524237914,-7.579828842844864,1.3707876575298177,0.48089000000000015,0.8913783081999095
44160,2024-10-18 04:46:00,1.0,15.030170000000002,0.6949356805489266,-0.9614200000000004,0.24212469432092243,-6.008764259505937,1.508541657359977,0.6092759999999995,1.1634849912526861
44160,2024-10-18 04:46:00,1.25,14.592811111111113,0.6691900036519179,-0.6669777777777782,0.09700494578202114,-4.364310505941618,0.5540085680687858,0.5909234567901235,0.45490582360754483
