T0
0
11
2
Type of measurement (0=app.resistivity,1=resistance)
1
335
2
0
2	0	7.75	0	2	0.41739065269157

2	0	5	0	7.5	0.938518567358494

2	0	5	0	6.25	2.07310605886912

2	0	3	0	1.75	1.88111666470215

2	0	7.75	0	6.75	2.57659620508839

2	0	3.25	0	2.5	3.34805465582206

2	0	4	0	7.5	0.698133072752253

2	0	4	0	6.25	1.03879684349245

2	0	3	0	3.5	5.37838518815659

2	0	2	0	6.75	0.544656756078939

2	0	7	0	5.75	1.99190003846896

2	0	7	0	4.5	0.901487869109879

2	0	1	0	5.25	0.63963576277544

2	0	1	0	4	0.742990911159968

2	0	4.75	0	3	1.29344850072812

2	0	6	0	3	0.795150113899124

2	0	2	0	2.25	9.49900384876368

2	0	7	0	0.5	0.445151664184672

2	0	0	0	3.5	0.775068760526735

2	0	1.75	0	0	1.27735005850842

2	0	6	0	7	2.71957032018721

2	0	6.5	0	1.25	0.891637875225945

2	0	7.75	0	1.25	0.395276485375058

2	0	5	0	5.5	5.72434897009173

2	0	5	0	4.25	3.6473535175247

2	0	3	0	1	1.0903099055854

2	0	1	0	2	2.37870190688128

2	0	1.75	0	6	0.63440870781528

2	0	4	0	2.25	1.25988065139688

2	0	7.75	0	6	1.33024525102476

2	0	7.75	0	4.75	0.736149295296436

2	0	6	0	2	0.658574863242891

2	0	4	0	5.5	1.65130188090272

2	0	4	0	4.25	10.7440744804953

2	0	0	0	1.75	1.26847986694192

2	0	3.75	0	3.5	7.82905154278983

2	0	3	0	2.75	9.41913896447897

2	0	2	0	6	0.6690412919185

2	0	2	0	4.75	0.847440283992789

2	0	7	0	5	1.1409662485772

2	0	7	0	3.75	0.706313725443493

2	0	1	0	3.25	0.958056710293591

2	0	2.75	0	5	0.985156165513525

2	0	5	0	1.75	0.773346751695849

2	0	2	0	1.5	5.33757892411494

2	0	0	0	2.75	1.09373087504905

2	0	3.25	0	4.5	1.90790984073344

2	0	3	0	6.75	0.663427798968336

2	0	1	0	7.25	0.578338985642689

2	0	6	0	7.5	1.62321120252209

2	0	6	0	6.25	10.3886958479518

2	0	7.75	0	0.5	0.360586151756695

2	0	5	0	3.5	1.53548244672595

2	0	3	0	0.25	0.797055459841127

2	0	1	0	1.25	9.28833916245349

2	0	4	0	1.5	0.870532649662473

2	0	1.5	0	6.25	0.551154891494534

2	0	7.75	0	5.25	0.883876891918841

2	0	7.75	0	4	0.590161437217019

2	0	6	0	1.25	0.642117715476786

2	0	4	0	3.5	5.81756170884724

