datetime,time (s),T_in (degC),T_out (degC),V_geo (L/s),V_saig (L/s),Q (W)
2024-10-15 05:00:35,-3.0457631387174213e-05,14.098461151123,14.1048717498779,0.0,0.0,-0.0
2024-10-15 05:01:35,-3.0449593835733878e-05,14.0907688140869,14.1074361801147,0.0,0.0,-0.0
2024-10-15 05:02:35,-3.0441556284293557e-05,14.0958976745605,14.1074361801147,0.0,0.0,-0.0
2024-10-15 05:03:35,-3.0433518732853223e-05,14.0958976745605,14.0971794128418,0.0,0.0,-0.0
2024-10-15 05:04:35,-3.0425481181412892e-05,14.0830764770508,14.0997438430786,0.0,0.0,-0.0
2024-10-15 05:05:35,-3.0417443629972568e-05,14.0779485702515,14.1048717498779,0.0,0.0,-0.0
2024-10-15 05:06:35,-3.0409406078532237e-05,14.0753841400146,14.0920515060425,0.0,0.0,-0.0
2024-10-15 05:07:35,-3.040136852709191e-05,14.0805130004883,14.1023073196411,0.0,0.0,-0.0
2024-10-15 05:08:35,-3.0393330975651578e-05,14.0779485702515,14.094614982605,0.0,0.0,-0.0
2024-10-15 05:09:35,-3.0385293424211243e-05,14.0779485702515,14.0920515060425,0.0,0.0,-0.0
2024-10-15 05:10:35,-3.0377255872770922e-05,14.0779485702515,14.0843591690063,0.0,0.0,-0.0
2024-10-15 05:11:35,-3.0369218321330588e-05,14.0728206634521,14.0894870758057,0.0,0.0,-0.0
2024-10-15 05:12:35,-3.036118076989026e-05,14.0728206634521,14.0894870758057,0.0,0.0,-0.0
2024-10-15 05:13:35,-3.0353143218449933e-05,14.0728206634521,14.0792303085327,0.0,0.0,-0.0
2024-10-15 05:14:35,-3.03451056670096e-05,14.065128326416,14.0792303085327,0.0,0.0,-0.0
2024-10-15 05:15:35,-3.0337068115569274e-05,14.0676927566528,14.0792303085327,0.0,0.0,-0.0
2024-10-15 05:16:35,-3.0329030564128943e-05,14.0753841400146,14.0766668319702,0.0,0.0,-0.0
2024-10-15 05:17:35,-3.0320993012688615e-05,14.0625638961792,14.0792303085327,0.0,0.0,-0.0
2024-10-15 05:18:35,-3.0312955461248288e-05,14.065128326416,14.0741024017334,0.0,0.0,-0.0
2024-10-15 05:19:35,-3.0304917909807953e-05,14.0548715591431,14.0766668319702,0.0,0.0,-0.0
2024-10-15 05:20:35,-3.0296880358367626e-05,14.0574359893799,14.0638465881348,0.0,0.0,-0.0
2024-10-15 05:21:35,-3.0288842806927298e-05,14.0523080825806,14.0689744949341,0.0,0.0,-0.0
2024-10-15 05:22:35,-3.0280805255486967e-05,14.0548715591431,14.0689744949341,0.0,0.0,-0.0
2024-10-15 05:23:35,-3.027276770404664e-05,14.0446157455444,14.0612821578979,0.0,0.0,-0.0
2024-10-15 05:24:35,-3.026473015260631e-05,14.0471792221069,14.0715389251709,0.0,0.0,-0.0
2024-10-15 05:25:35,-3.025669260116598e-05,14.0523080825806,14.0664100646973,0.0,0.0,-0.0
2024-10-15 05:26:35,-3.0248655049725653e-05,14.0394868850708,14.0612821578979,0.0,0.0,-0.0
2024-10-15 05:27:35,-3.0240617498285325e-05,14.0369234085083,14.0587177276611,0.0,0.0,-0.0
2024-10-15 05:28:35,-3.023257994684499e-05,14.0420513153076,14.0664100646973,0.0,0.0,-0.0
2024-10-15 05:29:35,-3.022454239540467e-05,14.0343589782715,14.0664100646973,0.0,0.0,-0.0
2024-10-15 05:30:35,-3.0216504843964332e-05,14.0266666412354,14.0561542510986,0.0,0.0,-0.0
2024-10-15 05:31:35,-3.0208467292524004e-05,14.0266666412354,14.0535898208618,0.0,0.0,-0.0
2024-10-15 05:32:35,-3.0200429741083677e-05,14.0241022109985,14.0561542510986,0.0,0.0,-0.0
2024-10-15 05:33:35,-3.0192392189643346e-05,14.021538734436,14.0484619140625,0.0,0.0,-0.0
2024-10-15 05:34:35,-3.018435463820302e-05,14.021538734436,14.0535898208618,0.0,0.0,-0.0
2024-10-15 05:35:35,-3.017631708676269e-05,14.0189743041992,14.0535898208618,0.0,0.0,-0.0
2024-10-15 05:36:35,-3.0168279535322356e-05,14.0189743041992,14.0458974838257,0.0,0.0,-0.0
2024-10-15 05:37:35,-3.0160241983882028e-05,14.0164098739624,14.0484619140625,0.0,0.0,-0.0
2024-10-15 05:38:35,-3.0152204432441697e-05,14.0061540603638,14.0407695770264,0.0,0.0,-0.0
2024-10-15 05:39:35,-3.0144166881001373e-05,14.0138463973999,14.0458974838257,0.0,0.0,-0.0
2024-10-15 05:40:35,-3.0136129329561042e-05,14.0061540603638,14.0382051467896,0.0,0.0,-0.0
2024-10-15 05:41:35,-3.012809177812071e-05,13.9984617233276,14.0382051467896,0.0,0.0,-0.0
2024-10-15 05:42:35,-3.0120054226680386e-05,13.9984617233276,14.0356407165527,0.0,0.0,-0.0
2024-10-15 05:43:35,-3.0112016675240055e-05,13.993332862854,14.0407695770264,0.0,0.0,-0.0
2024-10-15 05:44:35,-3.0103979123799728e-05,13.9958972930908,14.0382051467896,0.0,0.0,-0.0
2024-10-15 05:45:35,-3.0095941572359393e-05,13.9958972930908,14.0407695770264,0.0,0.0,-0.0
2024-10-15 05:46:35,-3.0087904020919066e-05,13.9830770492554,14.0382051467896,0.0,0.0,0.0
2024-10-15 05:47:35,-3.0079866469478738e-05,13.993332862854,14.0382051467896,0.0,0.0,-0.0
2024-10-15 05:48:35,-3.0071828918038407e-05,13.9805126190186,14.0279483795166,0.0,0.0,-0.0
2024-10-15 05:49:35,-3.006379136659808e-05,13.9702568054199,14.0279483795166,0.0,0.0,0.0
2024-10-15 05:50:35,-3.005575381515775e-05,13.9779491424561,14.0330772399902,0.0,0.0,0.0
2024-10-15 05:51:35,-3.0047716263717424e-05,13.9805126190186,14.0253849029541,0.0,0.0,-0.0
2024-10-15 05:52:35,-3.0039678712277093e-05,13.9753847122192,14.0253849029541,0.0,0.0,-0.0
2024-10-15 05:53:35,-3.003164116083676e-05,13.9702568054199,14.017692565918,0.0,0.0,-0.0
2024-10-15 05:54:35,-3.002360360939643e-05,13.9625644683838,14.0253849029541,0.0,0.0,0.0
2024-10-15 05:55:35,-3.0015566057956103e-05,13.9676923751831,14.0228204727173,0.0,0.0,0.0
2024-10-15 05:56:35,-3.0007528506515775e-05,13.960000038147,14.0253849029541,0.0,0.0,0.0
2024-10-15 05:57:35,-2.9999490955075444e-05,13.960000038147,14.0125637054443,0.0,0.0,-0.0
2024-10-15 05:58:35,-2.999145340363512e-05,13.960000038147,14.017692565918,0.0,0.0,0.0
2024-10-15 05:59:35,-2.998341585219479e-05,13.9548721313477,14.017692565918,0.0,0.0,0.0
2024-10-15 06:00:35,-2.9975378300754458e-05,13.949743270874,14.0048713684082,0.0,0.0,0.0
2024-10-15 06:01:35,-2.996734074931413e-05,13.9471797943115,14.007435798645,0.0,0.0,0.0
2024-10-15 06:02:35,-2.9959303197873796e-05,13.9471797943115,14.0100002288818,0.0,0.0,0.0
2024-10-15 06:03:35,-2.9951265646433475e-05,13.9394874572754,14.0048713684082,0.0,0.0,0.0
2024-10-15 06:04:35,-2.994322809499314e-05,13.9394874572754,14.0125637054443,0.0,0.0,0.0
2024-10-15 06:05:35,-2.993519054355281e-05,13.9420509338379,14.017692565918,0.0,0.0,0.0
2024-10-15 06:06:35,-2.9927152992112485e-05,13.9446153640747,14.0100002288818,0.0,0.0,0.0
2024-10-15 06:07:35,-2.991911544067215e-05,13.9369230270386,13.9997434616089,0.0,0.0,0.0
2024-10-15 06:08:35,-2.9911077889231827e-05,13.9317951202393,14.0048713684082,0.0,0.0,0.0
2024-10-15 06:09:35,-2.9903040337791495e-05,13.9317951202393,13.9997434616089,0.0,0.0,0.0
2024-10-15 06:10:35,-2.989500278635116e-05,13.9343585968018,13.9997434616089,0.0,0.0,0.0
2024-10-15 06:11:35,-2.988696523491084e-05,13.9215383529663,13.9946155548096,0.0,0.0,0.0
2024-10-15 06:12:35,-2.9878927683470506e-05,13.9241027832031,13.9997434616089,0.0,0.0,0.0
2024-10-15 06:13:35,-2.9870890132030178e-05,13.9215383529663,13.9843587875366,0.0,0.0,0.0
2024-10-15 06:14:35,-2.986285258058985e-05,13.916410446167,13.9997434616089,0.0,0.0,0.0
2024-10-15 06:15:35,-2.9854815029149516e-05,13.9189739227295,13.9920511245728,0.0,0.0,0.0
2024-10-15 06:16:35,-2.984677747770919e-05,13.9189739227295,13.9894876480103,0.0,0.0,0.0
2024-10-15 06:17:35,-2.983873992626886e-05,13.9087181091309,13.9869232177734,0.0,0.0,0.0
2024-10-15 06:18:35,-2.9830702374828533e-05,13.9138460159302,13.9894876480103,0.0,0.0,0.0
2024-10-15 06:19:35,-2.9822664823388205e-05,13.9010257720947,13.9843587875366,0.0,0.0,0.0
2024-10-15 06:20:35,-2.9814627271947878e-05,13.906153678894,13.9843587875366,0.0,0.0,0.0
2024-10-15 06:21:35,-2.9806589720507543e-05,13.906153678894,13.9817953109741,0.0,0.0,0.0
2024-10-15 06:22:35,-2.9798552169067212e-05,13.9087181091309,13.9792308807373,0.0,0.0,0.0
2024-10-15 06:23:35,-2.9790514617626884e-05,13.8984613418579,13.9766664505005,0.0,0.0,0.0
2024-10-15 06:24:35,-2.9782477066186557e-05,13.8958978652954,13.9817953109741,0.0,0.0,0.0
2024-10-15 06:25:35,-2.977443951474623e-05,13.8907690048218,13.9715385437012,0.0,0.0,0.0
2024-10-15 06:26:35,-2.9766401963305898e-05,13.8830766677856,13.974102973938,0.0,0.0,0.0
2024-10-15 06:27:35,-2.9758364411865574e-05,13.8933334350586,13.9817953109741,0.0,0.0,0.0
2024-10-15 06:28:35,-2.9750326860425243e-05,13.8805131912231,13.9689741134644,0.0,0.0,0.0
2024-10-15 06:29:35,-2.974228930898491e-05,13.8830766677856,13.9689741134644,0.0,0.0,0.0
2024-10-15 06:30:35,-2.973425175754458e-05,13.8856410980225,13.9766664505005,0.0,0.0,0.0
2024-10-15 06:31:35,-2.972621420610425e-05,13.8779487609863,13.9689741134644,0.0,0.0,0.0
2024-10-15 06:32:35,-2.9718176654663925e-05,13.872820854187,13.9664106369019,0.0,0.0,0.0
